ABOX;TBOX;POS;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl_ABox_size;cl_ABox_time;all_supports_size;all_supports_time;cpi_repair_size;cpi_repair_time;cpi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cl_pi_repair_time;supports_time;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.5;9375;0.065000057220459;3;1.42700004577637;0;0.0789999961853027;1.57200002670288;25876;1.38599991798401;26125;29.2560000419617;0;0.18999981880188;32.1699998378754;16505;1.40599989891052;0;1.31900000572205;27.9990000724792;0;0.0439999103546143;32.2479999065399;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.6;9375;0.0269999504089355;6;1.38899993896484;84;0.0699999332427979;1.48599982261658;25876;1.34299993515015;26049;30.8429999351501;295;0.302999973297119;33.7089998722076;16505;1.42599987983704;211;1.29900002479553;30.694000005722;295;0.0399999618530273;34.8989999294281;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.7;9375;0.0539999008178711;12;1.39499998092651;0;0.0789999961853027;1.52799987792969;25876;1.47599983215332;26006;29.2290000915527;0;0.309999942779541;32.3439998626709;16505;1.60099983215332;0;1.63099980354309;29.6410000324249;0;0.0440001487731934;34.2039999961853;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.8;9375;0.0410001277923584;1;1.50999999046326;0;0.0829999446868897;1.63400006294251;25876;1.36700010299683;25989;27.0930001735687;0;0.158999919891357;29.8910000324249;16505;1.44799995422363;0;1.36500000953674;25.8269999027252;0;0.0360000133514404;30.0049998760223;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos100_prob_0.9;9375;0.0200002193450928;7;1.31599998474121;184;0.0729999542236328;1.40900015830994;25876;1.30800008773804;25941;26.0820000171661;614;0.231000185012817;28.9100000858307;16505;1.34299993515015;430;1.39099979400635;25.0520000457764;614;0.0320000648498535;29.2009999752045;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.1;9375;0.0350000858306885;44;1.30900001525879;0;0.131999969482422;1.4760000705719;25876;1.32599997520447;26481;26.0339999198914;0;1.9539999961853;30.6549999713898;16505;1.37899994850159;0;1.50499987602234;26.4370000362396;0;0.240000009536743;31.0629999637604;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.2;9375;0.0209999084472656;3;1.59100008010864;17;0.149999856948853;1.76199984550476;25876;1.35599994659424;26126;28.069000005722;59;0.38700008392334;31.0460000038147;16505;1.46799993515015;42;1.62800002098084;26.5169999599457;59;0.121999979019165;31.6570000648499;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.3;9375;0.0449998378753662;1;1.33800005912781;71;0.276000022888184;1.65899991989136;25876;1.47099995613098;25995;27.9370000362396;249;0.371999979019165;31.1139998435974;16505;1.82599997520447;178;1.71099996566772;27.1000001430511;249;0.126999855041504;32.6199998855591;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.4;9375;0.0440001487731934;2;1.40499997138977;39;0.151000022888184;1.60000014305115;25876;1.45700001716614;25953;28.4190001487732;152;0.28600001335144;31.4980001449585;16505;1.38900017738342;110;1.22899985313416;27.701000213623;152;0.120999813079834;31.970999956131;3
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.5;9375;0.0230000019073486;3;1.41799998283386;150;0.151999950408936;1.59299993515015;25876;1.35399985313416;25934;25.6119999885559;500;0.336000204086304;28.6700000762939;16505;1.47399997711182;350;1.38100004196167;25.0060000419617;500;0.105000019073486;29.4690001010895;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.6;9375;0.0220000743865967;2;1.38899993896484;91;0.174999952316284;1.58599996566772;25876;1.3529999256134;25901;25.5490000247955;328;0.365000009536743;28.6459999084473;16505;1.37999987602234;237;1.22300004959106;24.7000000476837;328;0.120000123977661;28.9160001277924;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.7;9375;0.0350000858306885;1;1.44199991226196;77;0.164000034332275;1.64100003242493;25876;1.37299990653992;25911;25.6419999599457;278;0.279000043869019;28.6189999580383;16505;1.4449999332428;201;1.25699996948242;24.8680000305176;278;0.105999946594238;29.1929998397827;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.8;9375;0.0240001678466797;5;1.39699983596802;442;0.146000146865845;1.56700015068054;25876;1.33500003814697;25897;25.7439999580383;1475;0.384999990463257;28.8269999027252;16505;1.35799980163574;1033;1.56599998474121;23.9730000495911;1475;0.059999942779541;28.6510000228882;0
university0.5_p_0.001.db;lubm-ex-20_disjoint.owl;pos500_prob_0.9;9375;0.0269999504089355;1;1.34800004959106;0;0.148000001907349;1.52300000190735;25876;1.40699982643127;25891;25.885999917984;0;0.249000072479248;28.9340000152588;16505;1.51900005340576;0;1.375;27.0839998722076;0;0.104000091552734;32.1000001430511;0
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_prob_0.1;9156;0.0239999294281006;1;1.36700010299683;1081;0.10099983215332;1.49199986457825;25337;1.41099977493286;26449;24.6329998970032;3581;0.181000232696533;27.3980000019073;16181;1.3490002155304;2501;1.80499982833862;20.6260001659393;3582;0.0499999523162842;24.9509999752045;0
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos250_prob_0.2;9156;0.0220000743865967;43;1.15199995040894;2869;0.141000032424927;1.31500005722046;25337;1.45900011062622;25746;25.1499998569489;8959;0.990000009536743;28.6979999542236;16181;1.36299991607666;6091;2.71200013160706;15.0009999275208;8960;0.0539999008178711;20.5160000324249;0
